id,company_name,signal_type,source,source_url,product_match,sector,score,confidence,keywords_summary,territory,sales_officer,keywords_matched,raw_data,discovered_at,status,notes
227,Arvind Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/2128163,Solvents,Industrial,85.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for textile processing - 500 MT"", ""location"": ""Rajasthan""}",2026-02-06 00:00:00,NEW,
1209,Tata Steel Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/3572510,Bitumen,Industrial,85.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for road construction - 2000 MT"", ""location"": ""Jharkhand""}",2026-02-06 00:00:00,NEW,
701,National Highways Authority of India,PSU Procurement,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/6727730,Furnace Oil,Industrial,84.0,60.0,"Procurement of, Expansion [regulatory_events]",Unassigned,,"{""regulatory_events"": [""Procurement of"", ""Expansion""]}","{""description"": ""Procurement of Industrial Boilers for expansion project"", ""location"": ""West Bengal""}",2026-02-06 00:00:00,NEW,
119,Adani Power Ltd,PSU Procurement,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/4211915,Furnace Oil,Industrial,84.0,60.0,Procurement of [regulatory_events],Unassigned,,"{""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Industrial Boilers for maintenance operations"", ""location"": ""Madhya Pradesh""}",2026-02-05 00:00:00,NEW,
626,Tata Power Company Ltd,PSU Procurement,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/6812035,Furnace Oil,Industrial,84.0,60.0,"Captive Power Plant [industrial_machinery] | Procurement of, Expansion [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""Captive Power Plant""], ""regulatory_events"": [""Procurement of"", ""Expansion""]}","{""description"": ""Procurement of Captive Power Plant equipment for expansion project"", ""location"": ""Punjab""}",2026-02-01 00:00:00,NEW,
647,JSW Steel Ltd,PSU Procurement,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/3244264,Furnace Oil,Industrial,83.0,60.0,Captive Power Plant [industrial_machinery] | Procurement of [regulatory_events],Unassigned,,"{""industrial_machinery"": [""Captive Power Plant""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Captive Power Plant equipment for new facility"", ""location"": ""Uttar Pradesh""}",2026-02-08 00:00:00,NEW,
286,National Highways Authority of India,Capacity Expansion,BSE,https://www.bseindia.com/xml-data/corpfiling/AttachLive/515357_41.pdf,,Industrial,82.5,50.0,Expansion [regulatory_events],North Region,SO_NORTH_01,"{""regulatory_events"": [""Expansion""]}","{""description"": ""Board approves 5000 Crore expansion project for new steel plant at Delhi"", ""location"": ""Delhi"", ""capacity_increase_pct"": 100, ""capex_cr"": 5000.0, ""fuel_impact"": ""Medium"", ""estimated_fuel_increase_pct"": 100}",2026-02-02 00:00:00,NEW,
761,Ultratech Cement Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/5225508,MTO,Industrial,79.0,60.0,"NIT, Supply of [regulatory_events] | Mineral Turpentine Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Mineral Turpentine Oil""]}","{""description"": ""NIT for supply of Mineral Turpentine Oil for equipment operation - 5000 KL"", ""location"": ""Haryana""}",2026-01-31 00:00:00,NEW,
1250,Century Textiles,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/3128008,Furnace Oil,Industrial,79.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for road construction - 1000 KL"", ""location"": ""Chhattisgarh""}",2026-01-31 00:00:00,NEW,
1273,Indian Oil Corporation Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/3134335,Bitumen,Industrial,79.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for road construction - 500 MT"", ""location"": ""Jharkhand""}",2026-01-30 00:00:00,NEW,
