id,company_name,signal_type,source,source_url,product_match,sector,score,confidence,keywords_summary,territory,sales_officer,keywords_matched,raw_data,discovered_at,status,notes
88,Gujarat State Petronet Ltd,Government Tender,PARIVESH,https://example.com/signal/87,Furnace Oil,Industrial,79.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for textile processing - 5000 KL"", ""location"": ""West Bengal""}",2026-01-29 00:00:00,NEW,
97,NTPC Ltd,Capacity Expansion,BSE,https://example.com/signal/96,,Industrial,76.5,50.0,Expansion [regulatory_events],Unassigned,,"{""regulatory_events"": [""Expansion""]}","{""description"": ""Board approves 5000 Crore expansion project for new steel plant at Andhra Pradesh"", ""location"": ""Andhra Pradesh"", ""capacity_increase_pct"": 100, ""capex_cr"": 5000.0, ""fuel_impact"": ""Medium"", ""estimated_fuel_increase_pct"": 100}",2026-01-16 00:00:00,NEW,
19,JSW Steel Ltd,PSU Procurement,GeM,https://example.com/signal/18,HSD,Industrial,74.0,60.0,"DG Set, 500 KVA [industrial_machinery] | Procurement of [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""DG Set"", ""500 KVA""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of 500 KVA DG Sets for new facility"", ""location"": ""Odisha""}",2026-01-24 00:00:00,NEW,
49,Shapoorji Pallonji,Capacity Expansion,BSE,https://example.com/signal/48,,Industrial,70.5,50.0,Expansion [regulatory_events],Unassigned,,"{""regulatory_events"": [""Expansion""]}","{""description"": ""Board approves 2500 Crore expansion project for new Jute processing mill at Haryana"", ""location"": ""Haryana"", ""capacity_increase_pct"": 100, ""capex_cr"": 2500.0, ""fuel_impact"": ""Medium"", ""estimated_fuel_increase_pct"": 100}",2026-01-21 00:00:00,NEW,
108,Century Textiles,Capacity Expansion,BSE,https://example.com/signal/107,LSHS,Industrial,70.5,60.0,Expansion [regulatory_events],Unassigned,,"{""regulatory_events"": [""Expansion""]}","{""description"": ""Board approves 1200 Crore expansion project for new power plant at Rajasthan"", ""location"": ""Rajasthan"", ""capacity_increase_pct"": 60.0, ""capex_cr"": 1200.0, ""fuel_impact"": ""Medium"", ""estimated_fuel_increase_pct"": 60.0}",2026-01-09 00:00:00,NEW,
45,Tata Steel Ltd,Government Tender,PARIVESH,https://example.com/signal/44,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for road construction - 1000 KL"", ""location"": ""Uttar Pradesh""}",2025-12-10 00:00:00,NEW,
81,Vedanta Ltd,Government Tender,PARIVESH,https://example.com/signal/80,JBO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for industrial use - 5000 KL"", ""location"": ""Gujarat""}",2025-11-01 00:00:00,NEW,
8,Hindalco Industries,Government Tender,PARIVESH,https://example.com/signal/7,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for paint production - 1000 KL"", ""location"": ""Maharashtra""}",2025-09-03 00:00:00,NEW,
113,Reliance Industries Ltd,Government Tender,PARIVESH,https://example.com/signal/112,HSD,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for paint production - 5000 KL"", ""location"": ""Andhra Pradesh""}",2025-08-11 00:00:00,NEW,
104,Bharat Petroleum Corp Ltd,Government Tender,PARIVESH,https://example.com/signal/103,HSD,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for textile processing - 500 MT"", ""location"": ""Andhra Pradesh""}",2025-07-27 00:00:00,NEW,
61,Ultratech Cement Ltd,Government Tender,PARIVESH,https://example.com/signal/60,HSD,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for textile processing - 500 MT"", ""location"": ""Madhya Pradesh""}",2025-07-07 00:00:00,NEW,
70,Gammon India,Government Tender,PARIVESH,https://example.com/signal/69,HSD,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for paint production - 5000 KL"", ""location"": ""Karnataka""}",2025-03-22 00:00:00,NEW,
91,Adani Power Ltd,Government Tender,PARIVESH,https://example.com/signal/90,HSD,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for equipment operation - 5000 KL"", ""location"": ""Maharashtra""}",2025-03-19 00:00:00,NEW,
34,Bharat Petroleum Corp Ltd,Government Tender,PARIVESH,https://example.com/signal/33,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for power generation - 1000 KL"", ""location"": ""Odisha""}",2025-03-17 00:00:00,NEW,
64,Reliance Industries Ltd,Government Tender,PARIVESH,https://example.com/signal/63,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for equipment operation - 2000 MT"", ""location"": ""Maharashtra""}",2025-02-28 00:00:00,NEW,
107,Indian Oil Corporation Ltd,Government Tender,PARIVESH,https://example.com/signal/106,MTO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events] | Mineral Turpentine Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Mineral Turpentine Oil""]}","{""description"": ""NIT for supply of Mineral Turpentine Oil for equipment operation - 500 MT"", ""location"": ""West Bengal""}",2025-01-27 00:00:00,NEW,
29,NTPC Ltd,PSU Procurement,GeM,https://example.com/signal/28,Furnace Oil,Industrial,69.0,60.0,Procurement of [regulatory_events],Unassigned,,"{""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Industrial Boilers for backup power"", ""location"": ""Punjab""}",2025-12-28 00:00:00,NEW,
84,Ambuja Cements Ltd,PSU Procurement,GeM,https://example.com/signal/83,Furnace Oil,Industrial,69.0,60.0,Procurement of [regulatory_events],Unassigned,,"{""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Industrial Boilers for cleaning operations"", ""location"": ""Delhi""}",2025-12-07 00:00:00,NEW,
18,ACC Ltd,PSU Procurement,GeM,https://example.com/signal/17,Furnace Oil,Industrial,69.0,60.0,Procurement of [regulatory_events],Unassigned,,"{""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Industrial Boilers for backup power"", ""location"": ""Punjab""}",2025-11-11 00:00:00,NEW,
62,JSW Steel Ltd,PSU Procurement,GeM,https://example.com/signal/61,Furnace Oil,Industrial,69.0,60.0,Procurement of [regulatory_events],Unassigned,,"{""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Industrial Boilers for maintenance operations"", ""location"": ""Andhra Pradesh""}",2025-08-07 00:00:00,NEW,
98,Tata Power Company Ltd,PSU Procurement,GeM,https://example.com/signal/97,Furnace Oil,Industrial,69.0,60.0,Procurement of [regulatory_events],Unassigned,,"{""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Industrial Boilers for maintenance operations"", ""location"": ""West Bengal""}",2025-01-13 00:00:00,NEW,
79,Delhi Metro Rail Corporation,PSU Procurement,GeM,https://example.com/signal/78,HSD,Industrial,65.0,95.0,HSD Storage Tank [industrial_machinery] | Procurement of [regulatory_events] | HSD [commodities],Unassigned,,"{""industrial_machinery"": [""HSD Storage Tank""], ""regulatory_events"": [""Procurement of""], ""commodities"": [""HSD""]}","{""description"": ""Procurement of HSD Storage Tanks for maintenance operations"", ""location"": ""Karnataka""}",2025-12-13 00:00:00,NEW,
2,Century Textiles,PSU Procurement,GeM,https://example.com/signal/1,Furnace Oil,Industrial,65.0,60.0,Captive Power Plant [industrial_machinery] | Procurement of [regulatory_events],Unassigned,,"{""industrial_machinery"": [""Captive Power Plant""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Captive Power Plant equipment for maintenance operations"", ""location"": ""Maharashtra""}",2025-11-06 00:00:00,NEW,
59,National Highways Authority of India,PSU Procurement,GeM,https://example.com/signal/58,HSD,Industrial,65.0,95.0,HSD Storage Tank [industrial_machinery] | Procurement of [regulatory_events] | HSD [commodities],Unassigned,,"{""industrial_machinery"": [""HSD Storage Tank""], ""regulatory_events"": [""Procurement of""], ""commodities"": [""HSD""]}","{""description"": ""Procurement of HSD Storage Tanks for maintenance operations"", ""location"": ""Haryana""}",2025-10-03 00:00:00,NEW,
33,Gammon India,PSU Procurement,GeM,https://example.com/signal/32,HSD,Industrial,65.0,60.0,"DG Set, 500 KVA [industrial_machinery] | Procurement of [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""DG Set"", ""500 KVA""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of 500 KVA DG Sets for maintenance operations"", ""location"": ""Gujarat""}",2025-09-29 00:00:00,NEW,
47,Tata Steel Ltd,PSU Procurement,GeM,https://example.com/signal/46,Furnace Oil,Industrial,65.0,60.0,Captive Power Plant [industrial_machinery] | Procurement of [regulatory_events],Unassigned,,"{""industrial_machinery"": [""Captive Power Plant""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Captive Power Plant equipment for maintenance operations"", ""location"": ""Punjab""}",2025-09-27 00:00:00,NEW,
56,Century Textiles,PSU Procurement,GeM,https://example.com/signal/55,HSD,Industrial,65.0,60.0,"DG Set, 500 KVA [industrial_machinery] | Procurement of [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""DG Set"", ""500 KVA""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of 500 KVA DG Sets for backup power"", ""location"": ""Rajasthan""}",2025-08-08 00:00:00,NEW,
21,Gujarat State Petronet Ltd,PSU Procurement,GeM,https://example.com/signal/20,HSD,Industrial,65.0,60.0,"DG Set, 500 KVA [industrial_machinery] | Procurement of [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""DG Set"", ""500 KVA""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of 500 KVA DG Sets for backup power"", ""location"": ""Karnataka""}",2025-07-10 00:00:00,NEW,
52,Hindalco Industries,PSU Procurement,GeM,https://example.com/signal/51,Furnace Oil,Industrial,65.0,60.0,Captive Power Plant [industrial_machinery] | Procurement of [regulatory_events],Unassigned,,"{""industrial_machinery"": [""Captive Power Plant""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Captive Power Plant equipment for new facility"", ""location"": ""Gujarat""}",2025-06-23 00:00:00,NEW,
73,National Highways Authority of India,PSU Procurement,GeM,https://example.com/signal/72,Furnace Oil,Industrial,65.0,60.0,Captive Power Plant [industrial_machinery] | Procurement of [regulatory_events],Unassigned,,"{""industrial_machinery"": [""Captive Power Plant""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of Captive Power Plant equipment for backup power"", ""location"": ""Maharashtra""}",2025-05-15 00:00:00,NEW,
24,Ambuja Cements Ltd,PSU Procurement,GeM,https://example.com/signal/23,HSD,Industrial,65.0,60.0,"DG Set, 500 KVA [industrial_machinery] | Procurement of [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""DG Set"", ""500 KVA""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of 500 KVA DG Sets for cleaning operations"", ""location"": ""Haryana""}",2025-04-26 00:00:00,NEW,
41,Shapoorji Pallonji,PSU Procurement,GeM,https://example.com/signal/40,HSD,Industrial,65.0,60.0,"DG Set, 500 KVA [industrial_machinery] | Procurement of [regulatory_events]",Unassigned,,"{""industrial_machinery"": [""DG Set"", ""500 KVA""], ""regulatory_events"": [""Procurement of""]}","{""description"": ""Procurement of 500 KVA DG Sets for maintenance operations"", ""location"": ""Jharkhand""}",2025-03-07 00:00:00,NEW,
9,Delhi Metro Rail Corporation,Capacity Expansion,BSE,https://example.com/signal/8,,Industrial,61.5,50.0,"NIT, Expansion [regulatory_events]",West Region,SO_WEST_01,"{""regulatory_events"": [""NIT"", ""Expansion""]}","{""description"": ""Board approves 750 Crore expansion project for new manufacturing unit at Gujarat"", ""location"": ""Gujarat"", ""capacity_increase_pct"": 37.5, ""capex_cr"": 750.0, ""fuel_impact"": ""Medium"", ""estimated_fuel_increase_pct"": 37.5}",2025-12-29 00:00:00,NEW,
